Time,ImageName,XPosition,YPosition
4.58,image4,-3.325618,1.557862
6.72,image10,-2.470162,0.9157128
10.76,image2,0.05625007,2.442871
14.37,image5,0.9385979,1.553587
16.46,image9,-0.03321573,-1.003876
21.32,image3,0.8131478,-1.462152
26.31,image12,-1.35919,-2.058623
29.89,image14,2.308638,0.5369207
34.38,image11,-2.404671,-1.149665
36.63,image8,2.932374,3.243004
38.37,image7,-0.8770351,3.597731
44.34,image1,2.357315,-0.6735968
46.02,image13,-0.3581442,-3.034819
48.60,image6,-1.507019,0.4089614
50.54,image14,5.582997,0.6697639
52.37,image9,4.716079,-0.5020242
53.87,image1,1.619847,-0.1422241
55.80,image11,-5.059556,-2.079568
56.45,image11,-5.059556,-2.079568
3.13,image5,-0.5235246,2.046743
4.40,image2,0.0383822,3.39724
5.67,image4,-1.158217,0.6210841
7.02,image8,2.832017,2.283987
8.21,image10,1.468914,0.6397147
9.56,image6,1.271775,1.921393
2.85,image4,-0.371493,1.521815
4.06,image10,0.8095443,-1.837847
5.21,image13,2.13012,-0.8215673
6.63,image9,3.613101,1.184675
7.77,image8,0.05893654,-0.6821443
8.83,image2,0.3082799,0.1796147
10.18,image12,0.8743682,-0.896672
32.38,image6,-7.51001,4.040009
34.60,image6,-7.51001,4.040009
35.09,image6,-7.51001,4.040009
35.27,image6,-7.51001,4.040009
36.15,image6,-7.51001,4.040009
37.27,image5,0.3727773,2.670652
38.27,image2,1.330833,0.01775301
39.40,image4,-0.9323495,-0.1466079
40.92,image8,-1.586587,0.7372601
42.15,image10,3.278355,-1.190398
43.86,image12,-5.097386,-1.083435
45.31,image12,-5.097386,-1.083435
46.21,image12,-5.097386,-1.083435
55.63,image7,-2.221142,1.775783
65.25,image12,-0.6963226,-0.9838269
66.62,image14,1.486365,-1.628832
67.69,image13,-3.006217,-1.780288
79.60,image7,-5.362978,-0.1416586
81.10,image7,-7.4326,0.05755621
83.63,image8,-5.214658,4.285773
90.67,image3,-0.7480526,1.106047
98.42,image8,-7.720647,2.492839
1.30,image12,-2.932974,-1.570713
6.52,image2,-6.049988,2.619995
8.65,image2,-6.049988,2.619995
10.71,image2,-0.3525456,1.93873
11.75,image2,-0.3525456,1.93873
12.31,image2,-0.3525456,1.93873
13.13,image2,-0.3525456,1.93873
14.67,image2,-5.051718,2.401017
16.12,image2,-5.051718,2.401017
17.26,image2,-5.051718,2.401017
19.20,image2,-0.4255899,3.082282
21.01,image2,-0.4255899,3.082282
22.41,image2,-0.4255899,3.082282
9.46,image8,-1.691688,1.061906
10.94,image8,-1.691688,1.061906
2.93,image8,-1.204727,0.2103252
4.25,image8,-1.204727,0.2103252
5.28,image8,-1.204727,0.2103252
7.71,image8,-2.982134,-1.176536
8.67,image8,-2.982134,-1.176536
9.71,image8,-2.982134,-1.176536
11.22,image8,-2.982134,-1.176536
11.82,image8,-2.982134,-1.176536
13.08,image8,-2.836046,1.353877
13.64,image8,-2.836046,1.353877
14.87,image8,-2.836046,1.353877
17.31,image4,-2.684623,-2.304417
18.21,image4,-2.684623,-2.304417
18.95,image4,-2.684623,-2.304417
20.30,image4,0.2371428,0.615291
2.52,image2,-1.326468,2.279363
3.35,image2,-1.326468,2.279363
6.18,image2,-2.689958,0.08958185
2.18,image8,-4.930478,0.3284669
11.55,image2,-4.224385,2.591241
16.53,image5,-1.156532,2.347932
30.59,image10,-4.480653,-0.7664233
36.17,image12,-3.068273,-0.4014599
0.68,image8,-3.628355,0.5474454
3.14,image2,-0.8874962,2.425348
7.82,image4,-0.4438328,-0.2119597
15.54,image8,0.6953431,1.061906
20.91,image10,-2.259898,-2.114402
5.48,image4,0.3597623,1.418211
7.64,image12,-0.4435236,-3.271262
10.89,image2,0.2570185,2.984958
6.75,image4,-4.120891,1.466872
11.48,image12,-4.023176,-1.835738
2.01,image4,-2.026673,2.026483
4.30,image4,0.09189679,2.902396
5.50,image4,-1.734456,0.2503278
6.62,image4,0.871141,2.951058
8.79,image4,-0.9308608,0.4206439
10.50,image4,0.5302218,3.389014
12.92,image4,1.285114,2.367116
1.75,image10,-1.188438,0.6593205
2.83,image4,-0.5412385,1.637189
3.26,image4,-0.5412385,1.637189
5.22,image4,-0.5412385,1.637189
6.58,image4,-0.9065092,-1.063541
7.50,image4,-0.9065092,-1.063541
4.29,image8,-2.105065,0.8429284
0.92,image2,0.4761804,1.768414
3.46,image2,-0.05955002,1.622428
8.63,image2,-2.519039,-0.810662
3.33,image10,-3.915792,-0.7032098
5.51,image10,1.319753,2.313822
7.92,image10,1.319753,2.313822
7.11,image8,-5.90388,0.08867037
13.00,image7,-7.226487,0.09433854
4.78,image4,-2.538051,2.586094
8.17,image4,-3.706917,0.6639524
